REF.,DESCRIÇÃO,Grupo,Sub Grupo,Marca/ Fornec,Cor,Tamanho,Un,CUSTO,Unitário,ETIQ.,TIPO,,,,STATUS_DOWNLOAD,QTD_IMAGENS
1091,PROTETOR SOFA SUEDE,ENXOVAL,DECORAÇÃO,Campestre,PADRÃO,PADRÃO,Un,"R$50,00"," R$ 150,00 ", SIM, ADESIVA,,,,OK,5
1092,TOALHA BANHO ASLAN,ENXOVAL,BANHO,Sultan,PADRÃO,PADRÃO,Un,"R$21,32"," R$ 60,00 ", SIM, TAG,,,,OK,5
1093,TOALHA ROSTO ASLAN,ENXOVAL,BANHO,Sultan,PADRÃO,PADRÃO,Un,"R$8,31"," R$ 25,00 ", SIM, TAG,,,,OK,5
1094,LENCOL CASAL 4 PC REALCE ,ENXOVAL,CAMA,Sultan,PADRÃO,PADRÃO,4 pçs,"R$64,69"," R$ 195,00 ", SIM, ADESIVA,,,,OK,5
1095,LENCOL QUEEN 4 PC REALCE,ENXOVAL,CAMA,Sultan,PADRÃO,PADRÃO,4 pçs,"R$75,80"," R$ 220,00 ", SIM, ADESIVA,,,,OK,5
1096,LENCOL 2 PCS SOLTEIRO,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,2 pçs,"R$28,00"," R$ 80,00 ", SIM, ADESIVA,,,,OK,5
1097,TOALHA 4 CAD LISA,ENXOVAL,MESA,Campestre,LISO,PADRÃO,Un,"R$11,50"," R$ 35,00 ", SIM, ADESIVA,,,,OK,5
1098,TOALHA 4 CAD ESTAMPA,ENXOVAL,MESA,Campestre,ESTAMPADO,PADRÃO,Un,"R$11,50"," R$ 35,00 ", SIM, TAG,,,,OK,5
1099,TOALHA 6 CAD LISA,ENXOVAL,MESA,Campestre,LISO,PADRÃO,Un,"R$13,50"," R$ 45,00 ", SIM, ADESIVA,,,,OK,5
1100,TOALHA 6 CAD ESTAMPA,ENXOVAL,MESA,Campestre,ESTAMPADO,PADRÃO,Un,"R$13,50"," R$ 45,00 ", SIM, TAG,,,,OK,5
1101,COBRE LEITO KING,ENXOVAL,CAMA,Campestre,PADRÃO,PADRÃO,JG,"R$71,63"," R$ 210,00 ", SIM, ADESIVA,,,,OK,5
1102,Mousse micelar,COSMETICO,COSM/HIGIENE,APINIL,,,Un,"R$7,50"," R$ 30,00 ", SIM, ADESIVA,,,,OK,5
1103,Xarope Antigripal,COSMETICO,COSM/SAUDE,NECTAMEL,,,Un,"R$9,50"," R$ 38,00 ", SIM, ADESIVA,,,,PARCIAL,2
1104,Body Splash 130 ml,COSMETICO,COSM/PERFUMARIA,Bio Instinto,,,Un,"R$5,50"," R$ 22,00 ", SIM, ADESIVA,,,,OK,5
1105,Reparador de Cabelo,COSMETICO,COSM/CAPIILAR,APINIL,,,Un,"R$8,50"," R$ 34,00 ", SIM, ADESIVA,,,,OK,5
1106,VIBRADOR BULLET,SEXSHOP,VIBRADOR,,PADRÃO,PADRÃO,Un,"R$3,79"," R$ 15,00 ", SIM, ADESIVA,,,,OK,5
1107,BOLINHA HOT BALL ,SEXSHOP,SEX/ COSM,Hot Flowers,PADRÃO,PADRÃO,Un,"R$4,79"," R$ 15,00 ", SIM, ADESIVA,,,,OK,5
1108,EXCITATION ESQUENTA,SEXSHOP,SEX/ COSM,Hot Flowers,PADRÃO,PADRÃO,Un,"R$11,82"," R$ 40,00 ", SIM, ADESIVA,,,,OK,5
1109,ORIENTAL SPRAY ESQUENTA ESFRIA,SEXSHOP,SEX/ COSM,Hot Flowers,,,Un,"R$8,35"," R$ 30,00 ", SIM, ADESIVA,,,,OK,5
1110,CAPA COLCHÃO QUEEN,ENXOVAL,CAMA,Campestre,PADRÃO,QUEEN ,Un,"R$30,00"," R$ 90,00 ", SIM, ADESIVA,,,,OK,5
1111,SEMPRE VIRGEM ADSTRINGENTE,SEXSHOP,SEX/ COSM,Hot Flowers,,,Un,"R$14,99"," R$ 50,00 ", SIM, ADESIVA,,,,OK,5
1112,SETE SENSACOES ANESTESICO,SEXSHOP,SEX/ COSM,Hot Flowers,,,Un,"R$13,99"," R$ 50,00 ", SIM, ADESIVA,,,,OK,5
1113,LIS-IN FACILITADOR ANAL,SEXSHOP,SEX/ COSM,Hot Flowers,,,Un,"R$24,99"," R$ 75,00 ", SIM, ADESIVA,,,,OK,5
1114,CAPSULA VIBRATORIA,SEXSHOP,VIBRADOR,,,,Un,"R$8,22"," R$ 50,00 ", SIM, ADESIVA,,,,OK,5
1115,EXCITANTE XANA/ KULOKO,SEXSHOP,SEX/ COSM,Hot Flowers,,,Un,"R$6,99"," R$ 28,00 ", SIM, ADESIVA,,,,OK,5
1116,OLEO JAPONES ESQUENTA,SEXSHOP,SEX/ COSM,,,,Un,"R$4,65"," R$ 20,00 ", SIM, ADESIVA,,,,PARCIAL,4
1117,LUBRIFICANTE SABORES ,SEXSHOP,SEX/ COSM,,,,Un,"R$6,87"," R$ 25,00 ", SIM, ADESIVA,,,,OK,5
1118,LUBRIFICANTE TRADICIONAL KGEL,SEXSHOP,SEX/ COSM,,,,Un,"R$3,09"," R$ 15,00 ", SIM, ADESIVA,,,,PARCIAL,4
